Objective value:,67290.4
Resource used:,64413
Time:,210.187, First phase:,1.081, Second phase:,209.106
#Iterations:,1963
Path:,(0),(967),(502),(1578),(1322),(1130),(1936),(61),(1826),(741),(1192),(302),(186),(1697),(1929),(643),(243),(1028),(218),(307),(1046),(411),(1253),(923),(1149),(1428),(1617),(931),(258),(236),(190),(1303),(1572),(1065),(1062),(928),(715),(765),(1753),(819),(404),(464),(906),(1184),(1594),(1050),(559),(1274),(254),(1334),(451),(117),(1535),(1940),(527),(1038),(1695),(825),(299),(1520),(630),(1972),(1779),(385),(459),(1677),(1869),(908),(192),(347),(617),(773),(378),(1689),(441),(423),(1436),(1857),(1795),(1825),(498),(700),(1267),(470),(375),(1715),(790),(1097),(1557),(257),(1999)
