Objective value:,94151.4
Resource used:,46127
Time:,337.714
Optim:,1
gap:,0
Path:,(0),(2),(396),(1516),(1671),(786),(583),(1955),(1457),(11),(802),(1134),(1613),(514),(1390),(1081),(23),(1341),(769),(1282),(959),(46),(1691),(1603),(1348),(1936),(625),(1394),(1914),(422),(1183),(619),(1832),(277),(1765),(1195),(765),(41),(1775),(545),(1582),(1784),(1686),(1823),(259),(1647),(601),(1277),(1146),(183),(572),(161),(693),(449),(1871),(1037),(1015),(155),(1395),(1262),(129),(876),(721),(893),(368),(453),(505),(864),(996),(494),(93),(458),(938),(34),(1413),(912),(530),(841),(335),(364),(1504),(1323),(1003),(80),(983),(1114),(1110),(1761),(684),(76),(954),(1632),(1477),(1347),(1909),(158),(168),(1598),(662),(1999)
